verbatimScientificName,8712f1254ffffff,8712c1425ffffff,8712c10a0ffffff,8712c3850ffffff,8712c0700ffffff,8712c0351ffffff,8712c1016ffffff,8712c1013ffffff,8712c1010ffffff,8712c1cc9ffffff,8712f1addffffff,8712f1adaffffff,8712c11b3ffffff,8712c11b0ffffff,8712c030cffffff,8712f1373ffffff,8712f1370ffffff,8712f1364ffffff,8712f1361ffffff,8712f1355ffffff,8712f1343ffffff,8712c306effffff,8712c1c5affffff,8712c150bffffff,8712c4604ffffff,8712c12ccffffff,8712c10eaffffff,8712c0068ffffff,8712c3ad6ffffff,8712c1da0ffffff,8712c0241ffffff,8712c0adbffffff,8712c0374ffffff,8712ce933ffffff,8712c0353ffffff,8712c1012ffffff,8712c1ccbffffff,8712c1cc8ffffff,8712c0329ffffff,8712f1ad9ffffff,8712c11b5ffffff,8712c11b2ffffff,8712f1375ffffff,8712f1372ffffff,8712c1c8cffffff,8712c1194ffffff,8712c1c59ffffff,8712c4606ffffff,8712c0b94ffffff,8712c12ebffffff,8712c3aaeffffff,8712c3aabffffff,8712c4cd4ffffff,8712c3a8dffffff,8712e2711ffffff,8712c1ccdffffff,8712c032bffffff,8712f1adbffffff,8712c11b4ffffff,8712c0319ffffff,8712f1374ffffff,8712c1c88ffffff,8712c1196ffffff,8712f1356ffffff,8712c1c5bffffff,8712c4d99ffffff,8712c1c58ffffff
Gulo gulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gulo gulo luscus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ictidomys tridecemlineatus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasionycteris noctivagans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lasiurus cinereus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lemmus trimucronatus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lepus americanus,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.030303030303030304,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.041666666666666664,0.0,0.08064516129032258,0.0,0.0,0.0,0.018518518518518517,0.02564102564102564,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.09090909090909091,0.03571428571428571,0.0,0.038461538461538464,0.038461538461538464,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lepus townsendii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lontra canadensis,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.10714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lynx canadensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lynx rufus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marmota caligata,0.7142857142857143,0.0,0.13333333333333333,0.0,0.0,0.057692307692307696,0.0,0.0,0.0,0.0234375,0.0,0.0,0.043478260869565216,0.0,0.09090909090909091,0.0,0.0449438202247191,0.0,0.15151515151515152,0.0,0.0,0.0,0.25,0.0,0.0,0.14285714285714285,0.0,0.2,0.0,0.15789473684210525,0.4,0.0,0.0,0.27586206896551724,0.0,0.0,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,0.0,0.0,0.7142857142857143,0.0,0.0,0.2558139534883721,0.6285714285714286,0.0,0.375,0.0
Marmota monax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martes americana,0.02857142857142857,0.0,0.13333333333333333,0.0,0.25,0.0,0.0,0.0,0.047619047619047616,0.0234375,0.0,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.016129032258064516,0.0,0.0,0.028985507246376812,0.0,0.05128205128205128,0.0,0.014705882352941176,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.058823529411764705,0.0,0.038461538461538464,0.0,0.02127659574468085,0.041666666666666664,0.0,0.047619047619047616,0.0,0.044444444444444446,0.046511627906976744,0.0,0.0,0.0,0.0
